"Timestamp","1) If you are below the age of 18, do you have parental consent to participating in this survey? ","2) What's your current level of study? ","What part of New York do you reside in? ","Please state your gender.","Please choose the ethnicity that most appropriately describes you.","How often do you use technology for fun? ","Has your use of technology for fun increased or decreased due to COVID? ","How do you spend time on the internet for fun? ","Why do you use social media? ","Do you ever feel any, or more of the following: ","What do you turn to when you experience the issues stated in the previous question? ","Do you agree with any of the following negative effects of technology? ","Do you agree with any of the following positive effects of technology?","How long do you use technology for academic purposes every day?","How productive would you rate yourself?","Has your productivity increased or decreased due to COVID?","How do you use the internet for academic purposes?","How do your parents feel about the change in your use of technology for academic purposes from pre-Covid to present? ","How often do you use technology to check the news?","Where do you get your news from?","What fake news/inaccurate resources have you been exposed to on the internet during the pandemic?","What are a few online services or examples that you trust/use to obtain covid information from?"
"2021/05/25 8:41:19 PM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Social Medias;Streaming Services;Gaming Services","To converse with my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;To comment on other people's lives;For academic purposes","I feel stressed;I feel lonely;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;consulting trusted adult;Watching TV;Homework/ School","causes distractions/addictions;causes mental health issues;Spread of fake news/ misinformation","easier to find news/info;Meeting others with same interests;self-expression","10-12 hours","7","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles","They feel I use technology more than I should/ more than I did before","Every other day","Social Medias","The side effects that the vaccine can have. Most of them were made up and only said to not get the vaccine. Also, in the beginning of the pandemic, there were many fake stories about where the virus initiated from. ","I don't really know. If I find useful information that I want to share, I make sure to check if other companies say the same information. "
"2021/05/25 8:43:13 PM AST","I am 18+","Undergraduate Student (1st Year)","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias;Streaming Services;Reading Services","To make new friends;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I'm worried about getting COVID;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV;Reading","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes mental health issues;Drama, in general;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","1-2 hours","4","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","Neutral","Once a week","Social Medias","Insta posts spread misinformation about the palestine-israel conflict. ","New York Times"
"2021/05/25 8:48:26 PM AST","Yes","10th grade","Queens","Male","Black or African American;South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Decreased","Social Medias;Streaming Services;Messaging Services;Gaming Services;Reading Services","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV;Clubs/ Extracurricular Activites;Reading","harms relationships/ lack of in-person contact;causes mental health issues;Drama, in general","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","3-9 hours","3","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Lecture Videos;Documentaries;Wikipedia;Virtual Libraries;Reading Research Articles","They feel I use technology more than I should/ more than I did before","About every day","News Channels","The idea that vaccines aren’t safe. ","The CDC, although they have been inconsistent, have told blatant lies at times, and have misled us. "
"2021/05/25 8:53:37 PM AST","Yes","9th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias;Messaging Services;Gaming Services","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To comment on other people's lives;For academic purposes","I feel stressed;I feel lonely;I am worried about school;I'm often sleepy/tired during the daytime;I'm worried about what I consume","Social Media;Watching TV","harms relationships/ lack of in-person contact;unrealistic views;Spread of fake news/ misinformation","Meeting others with same interests;Keeps you entertained/upbe;self-expression","1-2 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;Documentaries","They feel I use technology more than I should/ more than I did before","Close to never","Social Medias","People said we didnt have to wear masks but we still do","The cdc and potus accounts"
"2021/05/25 8:54:07 PM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias;Messaging Services","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I am worried about school;I'm worried about what I consume","Social Media;Texting My Friends;Listening to music;Watching TV;Homework/ School","Bullying/rumor spread;unrealistic views;Drama, in general","connecting with friends/family;easier to find news/info;learning new things","3-9 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Lecture Videos;Documentaries;Reading Research Articles","Neutral","Every other day","News Channels","Fake Government Related Issues/Propaganda on Instagram. ","Any reliable unbiased news channels "
"2021/05/25 8:54:40 PM AST","Yes","10th grade","N/A","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Social Medias;Messaging Services;Reading Services","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues;To entertain/pass time","I feel stressed;I feel lonely;I'm worried about getting COVID;I'm constantly unmotivated or feeling down;Feeling left out","Texting My Friends;Watching TV;Reading","unrealistic views;causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;Meeting others with same interests;self-expression","3-9 hours","8","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Lecture Videos","Neutral","About every day","Social Medias","”Aesthetic” Instagram posts/trends","I don’t have anything specific but checking multiple sources without bias tends to be trusting "
"2021/05/25 9:05:45 PM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.);Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Social Medias;Streaming Services","To be updated on current events and world issues;To comment on other people's lives;For academic purposes","I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume","Listening to music;Watching TV","Bullying/rumor spread;causes distractions/addictions;causes mental health issues","easier to find news/info;Keeps you entertained/upbe;getting support from others","3-9 hours","4","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","They feel I use technology more than I should/ more than I did before","Once a week","Social Medias","I can’t really think of anything off the top of my head.","New York Times, nycgovcuomo’s Instagram stories, texts from NYC about updates"
"2021/05/25 9:10:37 PM AST","Yes","10th grade","Queens","Female","Hispanic or Latino","About 4-8 hours a day","Increased","Social Medias;Gaming Services","To converse with my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Texting My Friends;Listening to music","unrealistic views;Drama, in general;Spread of fake news/ misinformation","connecting with friends/family;Keeps you entertained/upbe;learning new things","3-9 hours","2","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Documentaries;Reading Research Articles","Neutral","About every day","Social Medias","I saw a post on Instagram that claimed the vaccine makes you infertile and can kill you ","I use the citizen app "
"2021/05/25 9:27:44 PM AST","I am 18+","Undergraduate Student (4th Year)","Brooklyn","Male","Hispanic or Latino","About 4-8 hours a day","Increased","Social Medias;Streaming Services;Messaging Services;Gaming Services;Reading Services","To get updates on the lives of my friends and family;To be updated on current events and world issues","I feel stressed;I feel lonely;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Reading","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues;Drama, in general;Spread of fake news/ misinformation","No","0-20 mins","2","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Lecture Videos;Documentaries;Wikipedia;Virtual Libraries;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","About every day","Newspapers","Global Pandemic ","Mew "
"2021/05/25 9:43:36 PM AST","Yes","Undergraduate Student (2nd Year)","Brooklyn","Prefer not to say","Middle Eastern (Morocco, Egypt, etc.)","About 4-8 hours a day","Increased","Social Medias;Messaging Services;Reading Services","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I feel stressed;I feel lonely;I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Listening to music;Watching TV","causes distractions/addictions;causes mental health issues;Drama, in general","Meeting others with same interests;getting support from others;learning new things","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Lecture Videos;Reading Research Articles","Neutral","About every day","Social Medias","-","-"
